start_year,aldermanic_2022,privately_owned_parcels,foreclosures,foreclosures_per_1k
1995,1,10462,71,6.7864653030013375
1995,2,9055,26,2.8713418001104363
1995,3,5621,4,0.7116171499733144
1995,4,1368,6,4.385964912280701
1995,5,11053,12,1.0856780964444042
1995,6,9107,96,10.541341824969804
1995,7,11251,108,9.599146742511778
1995,8,6817,20,2.933841865923427
1995,9,7727,30,3.8824899702342432
1995,10,9910,22,2.2199798183652875
1995,11,NA,4,NA
1995,12,NA,38,NA
1995,13,10101,7,0.693000693000693
1995,14,10717,24,2.239432677055146
1995,15,8860,134,15.124153498871333
1996,1,10461,70,6.691520887104483
1996,2,9050,30,3.314917127071823
1996,3,5628,5,0.8884150675195451
1996,4,1369,8,5.843681519357195
1996,5,11070,12,1.084010840108401
1996,6,9027,49,5.428159964550792
1996,7,11217,82,7.310332530979763
1996,8,6820,28,4.105571847507331
1996,9,7739,29,3.747254167205065
1996,10,9896,23,2.324171382376718
1996,11,NA,3,NA
1996,12,NA,31,NA
1996,13,10112,3,0.29667721518987344
1996,14,10715,13,1.2132524498366777
1996,15,8644,96,11.105969458583989
1997,1,10450,85,8.133971291866029
1997,2,9053,38,4.197503589970176
1997,3,5626,10,1.7774617845716318
1997,4,1359,10,7.358351729212656
1997,5,11090,9,0.8115419296663661
1997,6,8935,86,9.625069949636263
1997,7,11187,85,7.598104943237686
1997,8,6820,31,4.545454545454545
1997,9,7752,41,5.288957688338494
1997,10,9905,34,3.4326097930338215
1997,11,NA,9,NA
1997,12,NA,32,NA
1997,13,10118,3,0.296501284838901
1997,14,10711,15,1.4004294650359443
1997,15,8431,168,19.926461866919702
1998,1,10452,81,7.749712973593571
1998,2,9054,44,4.859730505853767
1998,3,5625,3,0.5333333333333333
1998,4,1358,6,4.418262150220913
1998,5,11118,10,0.8994423457456378
1998,6,8885,57,6.415306696679798
1998,7,11180,92,8.22898032200358
1998,8,6820,33,4.838709677419355
1998,9,7769,50,6.435834727764192
1998,10,9907,34,3.4319168264863227
1998,11,NA,14,NA
1998,12,NA,42,NA
1998,13,10123,15,1.4817741776153315
1998,14,10715,24,2.2398506766215585
1998,15,8355,103,12.327947336923998
1999,1,10455,112,10.712577714012433
1999,2,9055,68,7.509663169519602
1999,3,5621,7,1.2453300124533002
1999,4,1371,14,10.211524434719184
1999,5,11136,39,3.502155172413793
1999,6,8868,131,14.772214704555706
1999,7,11161,120,10.75172475584625
1999,8,6822,43,6.303136909997068
1999,9,7781,42,5.3977637835753765
1999,10,9906,32,3.2303654350898445
1999,11,NA,6,NA
1999,12,6126,65,10.610512569376429
1999,13,10139,12,1.1835486734391951
1999,14,10722,46,4.290244357396008
1999,15,8276,141,17.037216046399227
2000,1,NA,120,NA
2000,2,9058,63,6.955177743431221
2000,3,5613,8,1.4252627828255835
2000,4,1363,7,5.135730007336757
2000,5,NA,38,NA
