start_year,neighborhood,parcels,foreclosures,foreclosures_per_1k
1995,ALCOTT PARK,478,0,0
1995,ALVERNO,52,0,0
1995,AMANI,1762,24,13.62088535754824
1995,ARLINGTON GARDENS,735,1,1.3605442176870748
1995,ARLINGTON HEIGHTS,1235,19,15.384615384615385
1995,AVENUES WEST,263,2,7.604562737642586
1995,BARAN PARK,88,4,45.45454545454545
1995,BAY VIEW,4978,10,2.008838891120932
1995,BLUEMOUND HEIGHTS,976,0,0
1995,BORCHERT FIELD,1048,5,4.770992366412214
1995,BRADLEY ESTATES,970,8,8.247422680412372
1995,BREWER'S HILL,338,2,5.9171597633136095
1995,BRYNWOOD,1,0,0
1995,BUCHEL PARK,13,0,0
1995,BURNHAM PARK,1333,5,3.750937734433608
1995,CALUMET FARMS,242,1,4.132231404958678
1995,CAMBRIDGE HEIGHTS,471,0,0
1995,CANNON PARK,429,0,0
1995,CAPITOL HEIGHTS,1650,2,1.2121212121212122
1995,CASTLE MANOR,708,0,0
1995,CLARKE SQUARE,993,8,8.056394763343404
1995,CLAYTON CREST,527,0,0
1995,CLOCK TOWER ACRES,301,2,6.644518272425249
1995,COLD SPRING PARK,274,3,10.948905109489052
1995,COLLEGE HEIGHTS,373,0,0
1995,COLUMBUS PARK,1118,1,0.8944543828264758
1995,CONCORDIA,172,0,0
1995,COOPER PARK,1212,1,0.8250825082508251
1995,COPERNICUS PARK,469,0,0
1995,DINEEN PARK,907,3,3.3076074972436604
1995,DOWNER WOODS,633,0,0
1995,DRETZKA PARK,13,0,0
1995,ENDERIS PARK,917,1,1.0905125408942202
1995,ESTABROOK PARK,9,0,0
1995,EUCLID PARK,431,0,0
1995,FAIR PARK,420,0,0
1995,FAIRFIELD,333,0,0
1995,FAIRVIEW,1380,1,0.7246376811594203
1995,FERNWOOD,1048,1,0.9541984732824427
1995,FLORIST HIGHLANDS,257,0,0
1995,FOREST HOME HILLS,770,4,5.194805194805195
1995,FRANKLIN HEIGHTS,2246,22,9.795191451469279
1995,FREEDOM VILLAGE,14,0,0
1995,GARDEN HOMES,598,2,3.3444816053511706
1995,GOLDEN GATE,266,0,0
1995,GOLDEN VALLEY,1060,0,0
1995,GOLDMAN PARK,521,0,0
1995,GRA-RAM,478,2,4.184100418410042
1995,GRACELAND,779,1,1.2836970474967906
1995,GRANTOSA,355,1,2.8169014084507045
1995,GRANVILLE STATION,248,0,0
1995,GRANVILLE WOODS,3,0,0
1995,GRASSLYN MANOR,1578,8,5.069708491761723
1995,GREEN MOOR,185,0,0
1995,GROVER HEIGHTS,108,1,9.25925925925926
1995,HALYARD PARK,102,0,0
1995,HAMPTON HEIGHTS,2111,12,5.684509711037423
1995,HARAMBEE,2594,41,15.805705474171164
1995,HARBOR VIEW,9,0,0
1995,HARDER'S OAKS,149,0,0
1995,HAVENWOODS,178,1,5.617977528089887
1995,HAWLEY FARMS,597,0,0
1995,HAWTHORNE GLEN,122,1,8.196721311475411
1995,HERITAGE HEIGHTS,33,0,0
1995,HIGHWOOD ESTATES,500,0,0
1995,HILLSIDE,40,0,0
1995,HILLTOP PARISH,1,0,0
1995,HISTORIC MITCHELL STREET,1661,9,5.418422636965683
1995,HISTORIC THIRD WARD,1,0,0
1995,HOLLER PARK,164,1,6.097560975609756
1995,HONEY CREEK MANOR,833,1,1.2004801920768307
1995,HONEY CREEK PARKWAY,426,0,0
1995,JACKSON PARK,2380,1,0.42016806722689076
1995,JOHNSON'S WOODS,910,0,0
1995,JUNEAU TOWN,295,0,0
1995,KILBOURN TOWN,1,0,0
1995,KING PARK,182,0,0
