start_year,tract_2020,privately_owned_parcels,foreclosures,foreclosures_per_1k
1995,55079000101,602,1,1.6611295681063123
1995,55079000102,930,1,1.075268817204301
1995,55079000201,869,10,11.507479861910243
1995,55079000202,1140,1,0.8771929824561404
1995,55079000302,389,3,7.712082262210797
1995,55079000303,450,1,2.2222222222222223
1995,55079000304,990,1,1.0101010101010102
1995,55079000501,733,2,2.728512960436562
1995,55079000502,458,3,6.550218340611353
1995,55079000600,1466,5,3.4106412005457027
1995,55079000700,971,8,8.2389289392379
1995,55079000800,1184,3,2.5337837837837838
1995,55079000900,655,3,4.580152671755726
1995,55079001000,984,6,6.097560975609756
1995,55079001200,470,2,4.25531914893617
1995,55079001300,906,3,3.3112582781456954
1995,55079001400,327,1,3.058103975535168
1995,55079001500,601,5,8.319467554076539
1995,55079001600,606,1,1.6501650165016502
1995,55079001700,956,2,2.092050209205021
1995,55079001800,580,3,5.172413793103448
1995,55079001900,845,4,4.733727810650888
1995,55079002000,712,6,8.426966292134832
1995,55079002100,573,3,5.235602094240838
1995,55079002200,577,1,1.7331022530329288
1995,55079002300,1132,11,9.717314487632509
1995,55079002400,538,8,14.869888475836431
1995,55079002500,555,4,7.207207207207207
1995,55079002600,838,13,15.513126491646778
1995,55079002700,624,6,9.615384615384617
1995,55079002800,576,5,8.680555555555555
1995,55079002900,662,7,10.574018126888218
1995,55079003000,1197,2,1.670843776106934
1995,55079003100,1054,9,8.538899430740038
1995,55079003200,844,1,1.1848341232227488
1995,55079003300,1144,1,0.8741258741258742
1995,55079003400,1420,2,1.4084507042253522
1995,55079003500,1045,1,0.9569377990430622
1995,55079003600,548,2,3.6496350364963503
1995,55079003700,773,5,6.468305304010349
1995,55079003800,676,5,7.396449704142012
1995,55079003900,783,3,3.8314176245210727
1995,55079004000,543,3,5.524861878453039
1995,55079004100,807,8,9.913258983890954
1995,55079004200,692,2,2.890173410404624
1995,55079004300,1466,10,6.8212824010914055
1995,55079004400,471,8,16.985138004246284
1995,55079004500,649,6,9.244992295839754
1995,55079004600,769,14,18.205461638491546
1995,55079004700,1084,8,7.380073800738007
1995,55079004800,1005,20,19.90049751243781
1995,55079004900,1202,10,8.319467554076539
1995,55079005000,1370,6,4.37956204379562
1995,55079005100,729,2,2.743484224965706
1995,55079005300,707,1,1.4144271570014144
1995,55079005600,778,1,1.2853470437017993
1995,55079005800,968,1,1.0330578512396695
1995,55079005900,935,2,2.1390374331550803
1995,55079006000,521,6,11.516314779270633
1995,55079006100,571,4,7.005253940455342
1995,55079006200,591,11,18.612521150592215
1995,55079006300,644,9,13.975155279503106
1995,55079006400,657,3,4.5662100456621
1995,55079006500,672,8,11.904761904761903
1995,55079006600,849,2,2.3557126030624262
1995,55079006700,362,12,33.14917127071823
1995,55079006800,691,4,5.788712011577424
1995,55079006900,571,7,12.259194395796849
1995,55079007000,633,6,9.47867298578199
1995,55079007100,477,3,6.289308176100629
1995,55079007200,778,3,3.8560411311053984
1995,55079007600,388,1,2.577319587628866
1995,55079008000,427,1,2.34192037470726
1995,55079008100,312,4,12.82051282051282
1995,55079008400,355,4,11.267605633802818
1995,55079008500,310,6,19.35483870967742
1995,55079008600,367,9,24.52316076294278
1995,55079008700,388,13,33.50515463917526
1995,55079008800,494,6,12.145748987854251
1995,55079008900,398,3,7.537688442211055
1995,55079009000,519,13,25.048169556840076
1995,55079009100,566,11,19.434628975265017
1995,55079009200,369,1,2.710027100271003
1995,55079009400,750,1,1.3333333333333333
1995,55079009500,625,1,1.6
1995,55079009600,550,13,23.636363636363637
1995,55079009700,333,5,15.015015015015015
1995,55079009800,324,8,24.691358024691358
1995,55079009900,377,7,18.56763925729443
1995,55079010600,272,3,11.029411764705882
1995,55079010700,412,6,14.563106796116505
1995,55079011000,319,3,9.404388714733543
1995,55079012200,458,3,6.550218340611353
1995,55079012300,179,1,5.58659217877095
1995,55079012400,632,3,4.746835443037975
1995,55079013300,294,1,3.401360544217687
1995,55079013400,344,8,23.25581395348837
1995,55079013600,167,2,11.976047904191617
1995,55079013700,119,1,8.403361344537815
1995,55079014900,117,1,8.547008547008549
1995,55079015700,484,4,8.264462809917356
1995,55079015800,406,4,9.852216748768473
1995,55079016000,496,2,4.032258064516129
1995,55079016100,618,1,1.6181229773462784
1995,55079016200,541,2,3.6968576709796674
1995,55079016300,789,5,6.337135614702154
1995,55079016400,681,4,5.873715124816446
1995,55079016500,427,3,7.02576112412178
1995,55079016600,320,2,6.25
1995,55079016700,450,3,6.666666666666667
1995,55079016800,491,2,4.0733197556008145
1995,55079016900,633,5,7.898894154818325
1995,55079017000,964,5,5.186721991701245
1995,55079017100,483,1,2.070393374741201
1995,55079017300,671,2,2.9806259314456036
1995,55079017400,419,1,2.3866348448687353
1995,55079017500,613,4,6.525285481239805
