year_end,aldermanic_2022,parcels,city_owned
1990,1,10498,7
1990,2,9061,NA
1990,3,5616,1
1990,4,1423,20
1990,5,11002,NA
1990,6,9399,45
1990,7,11337,24
1990,8,6852,NA
1990,9,7701,3
1990,10,9952,11
1990,11,10869,NA
1990,12,6254,NA
1990,13,10058,0
1990,14,10739,NA
1990,15,9479,NA
1991,1,10492,11
1991,2,9058,NA
1991,3,5626,NA
1991,4,1413,12
1991,5,11007,NA
1991,6,9326,NA
1991,7,11318,NA
1991,8,6824,NA
1991,9,7749,0
1991,10,9930,1
1991,11,10879,NA
1991,12,6220,NA
1991,13,10072,NA
1991,14,10741,NA
1991,15,9336,83
1992,1,10489,11
1992,2,9058,2
1992,3,5639,1
1992,4,1408,12
1992,5,11017,0
1992,6,9270,22
1992,7,11297,13
1992,8,6821,3
1992,9,7759,1
1992,10,9927,1
1992,11,10884,0
1992,12,6203,NA
1992,13,10089,0
1992,14,10727,1
1992,15,9157,NA
1993,1,10483,19
1993,2,9058,7
1993,3,5634,1
1993,4,1388,14
1993,5,11041,1
1993,6,9223,63
1993,7,11298,22
1993,8,6822,4
1993,9,7771,2
1993,10,9923,2
1993,11,10884,0
1993,12,6198,NA
1993,13,10098,1
1993,14,10722,1
1993,15,9058,NA
1994,1,10468,6
1994,2,9056,1
1994,3,5622,1
1994,4,1381,13
1994,5,11053,0
1994,6,9143,36
1994,7,11266,15
1994,8,6818,1
1994,9,7727,0
1994,10,9919,9
1994,11,10886,NA
1994,12,6178,NA
1994,13,10101,0
1994,14,10717,0
1994,15,8916,56
1995,1,10471,10
1995,2,9052,2
1995,3,5629,1
1995,4,1382,13
1995,5,11071,1
1995,6,9087,60
1995,7,11239,22
1995,8,6823,3
1995,9,7739,0
1995,10,9911,15
1995,11,10889,NA
1995,12,6172,NA
1995,13,10113,1
1995,14,10720,5
1995,15,8746,102
1996,1,10465,15
1996,2,9057,4
1996,3,5627,1
1996,4,1374,15
1996,5,11092,2
1996,6,8988,53
1996,7,11209,22
1996,8,6821,1
1996,9,7753,1
1996,10,9908,3
1996,11,10887,NA
1996,12,6154,NA
1996,13,10118,0
1996,14,10713,2
1996,15,8516,85
1997,1,10458,6
1997,2,9055,1
1997,3,5625,0
1997,4,1370,12
1997,5,11118,0
1997,6,8924,39
1997,7,11197,17
1997,8,6824,4
1997,9,7769,0
1997,10,9913,6
1997,11,10899,NA
1997,12,6137,NA
1997,13,10123,0
1997,14,10715,0
1997,15,8417,62
1998,1,10459,4
1998,2,9057,2
1998,3,5621,0
1998,4,1375,4
1998,5,11136,0
1998,6,8898,30
1998,7,11178,17
1998,8,6823,1
1998,9,7783,2
1998,10,9909,3
1998,11,10902,NA
1998,12,6131,5
1998,13,10140,1
1998,14,10723,1
1998,15,8338,62
1999,1,10464,NA
1999,2,9061,3
1999,3,5614,1
1999,4,1371,8
1999,5,11154,NA
1999,6,8856,36
1999,7,11169,33
1999,8,6827,2
1999,9,7795,3
1999,10,9911,5
1999,11,10906,NA
1999,12,6114,5
1999,13,10141,0
1999,14,10722,0
1999,15,8274,53
2000,1,10454,9
2000,2,9063,1
2000,3,5606,NA
2000,4,1329,12
2000,5,11182,NA
2000,6,8823,30
2000,7,11135,28
2000,8,6821,0
2000,9,7791,44
2000,10,9904,7
2000,11,10910,NA
2000,12,6100,6
2000,13,10153,0
2000,14,10719,1
2000,15,8214,42
2001,1,10448,NA
2001,2,9067,NA
2001,3,5771,NA
2001,4,1840,15
2001,5,11196,NA
2001,6,8807,54
2001,7,11111,NA
2001,8,6822,8
2001,9,8050,46
2001,10,9895,0
2001,11,10910,NA
2001,12,6087,NA
2001,13,10159,NA
2001,14,10752,NA
2001,15,8184,69
2002,1,10440,18
2002,2,9084,NA
2002,3,5850,NA
2002,4,1872,14
2002,5,11209,NA
2002,6,8844,68
2002,7,11115,33
2002,8,6808,6
2002,9,8078,50
2002,10,9897,6
2002,11,10910,1
2002,12,6079,NA
2002,13,10159,NA
2002,14,10758,NA
2002,15,8139,95
2003,1,10438,6
2003,2,9112,0
2003,3,5861,0
2003,4,2018,7
2003,5,11248,NA
2003,6,8894,8
2003,7,11083,NA
2003,8,6805,0
2003,9,8101,NA
2003,10,9898,0
2003,11,10970,0
2003,12,6169,NA
2003,13,10167,NA
2003,14,10764,NA
2003,15,8044,7
2004,1,10454,8
2004,2,9131,4
2004,3,6019,0
2004,4,2201,4
2004,5,11258,NA
2004,6,9020,NA
2004,7,11110,21
2004,8,6819,5
2004,9,8107,43
2004,10,9908,2
2004,11,10997,NA
2004,12,6244,NA
2004,13,10172,NA
2004,14,10781,0
2004,15,8116,NA
2005,1,10448,6
2005,2,9137,1
2005,3,6213,1
2005,4,2329,4
2005,5,11282,NA
2005,6,9061,NA
2005,7,11103,17
2005,8,6813,8
2005,9,8177,46
2005,10,9907,4
2005,11,11027,1
