year_end,neighborhood,parcels,city_owned
1990,ALCOTT PARK,465,0
1990,ALVERNO,51,0
1990,AMANI,1890,11
1990,ARLINGTON GARDENS,734,0
1990,ARLINGTON HEIGHTS,1239,3
1990,AVENUES WEST,277,16
1990,BARAN PARK,90,0
1990,BAY VIEW,4991,1
1990,BLUEMOUND HEIGHTS,976,0
1990,BORCHERT FIELD,1090,11
1990,BRADLEY ESTATES,1002,1
1990,BREWER'S HILL,347,3
1990,BRYNWOOD,1,0
1990,BUCHEL PARK,13,0
1990,BURNHAM PARK,1331,1
1990,CALUMET FARMS,228,0
1990,CAMBRIDGE HEIGHTS,472,0
1990,CANNON PARK,428,0
1990,CAPITOL HEIGHTS,1654,1
1990,CASTLE MANOR,705,0
1990,CLARKE SQUARE,1001,3
1990,CLAYTON CREST,520,0
1990,CLOCK TOWER ACRES,312,2
1990,COLD SPRING PARK,276,0
1990,COLLEGE HEIGHTS,373,0
1990,COLUMBUS PARK,1119,0
1990,CONCORDIA,165,1
1990,COOPER PARK,1212,0
1990,COPERNICUS PARK,460,0
1990,DINEEN PARK,907,1
1990,DOWNER WOODS,632,1
1990,DRETZKA PARK,14,0
1990,ENDERIS PARK,918,0
1990,ESTABROOK PARK,9,0
1990,EUCLID PARK,432,0
1990,FAIR PARK,419,0
1990,FAIRFIELD,335,1
1990,FAIRVIEW,1381,1
1990,FERNWOOD,1052,0
1990,FLORIST HIGHLANDS,243,0
1990,FOREST HOME HILLS,769,1
1990,FRANKLIN HEIGHTS,2288,20
1990,FREEDOM VILLAGE,13,0
1990,GARDEN HOMES,601,0
1990,GOLDEN GATE,266,0
1990,GOLDEN VALLEY,1059,0
1990,GOLDMAN PARK,521,0
1990,GRA-RAM,478,0
1990,GRACELAND,779,0
1990,GRANTOSA,355,0
1990,GRANVILLE STATION,247,0
1990,GRANVILLE WOODS,3,0
1990,GRASSLYN MANOR,1579,2
1990,GREEN MOOR,185,0
1990,GROVER HEIGHTS,108,0
1990,HALYARD PARK,103,0
1990,HAMPTON HEIGHTS,2115,2
1990,HARAMBEE,2705,9
1990,HARBOR VIEW,9,0
1990,HARDER'S OAKS,149,0
1990,HAVENWOODS,178,0
1990,HAWLEY FARMS,597,0
