year_end,tract_2010,parcels
1990,55079000101,631
1990,55079000102,924
1990,55079000201,865
1990,55079000202,1077
1990,55079000301,621
1990,55079000302,365
1990,55079000303,434
1990,55079000304,982
1990,55079000400,372
1990,55079000501,733
1990,55079000502,457
1990,55079000600,1452
1990,55079000700,1003
1990,55079000800,1183
1990,55079000900,657
1990,55079001000,990
1990,55079001100,517
1990,55079001200,471
1990,55079001300,909
1990,55079001400,329
1990,55079001500,604
1990,55079001600,607
1990,55079001700,958
1990,55079001800,580
1990,55079001900,845
1990,55079002000,715
1990,55079002100,574
1990,55079002200,575
1990,55079002300,1133
1990,55079002400,541
1990,55079002500,558
1990,55079002600,841
1990,55079002700,625
1990,55079002800,578
1990,55079002900,665
1990,55079003000,1196
1990,55079003100,1057
1990,55079003200,849
1990,55079003300,1143
1990,55079003400,1426
1990,55079003500,1047
1990,55079003600,544
1990,55079003700,777
1990,55079003800,675
1990,55079003900,782
1990,55079004000,544
1990,55079004100,808
1990,55079004200,694
1990,55079004300,1472
1990,55079004400,483
1990,55079004500,659
1990,55079004600,770
1990,55079004700,1093
1990,55079004800,1010
1990,55079004900,1202
1990,55079005000,1374
1990,55079005100,729
1990,55079005200,572
1990,55079005300,708
1990,55079005400,1372
1990,55079005500,1207
1990,55079005600,778
1990,55079005700,857
1990,55079005800,969
1990,55079005900,918
1990,55079006000,521
1990,55079006100,571
1990,55079006200,609
1990,55079006300,671
1990,55079006400,700
1990,55079006500,695
1990,55079006600,910
1990,55079006700,384
1990,55079006800,720
1990,55079006900,593
1990,55079007000,659
1990,55079007100,481
1990,55079007200,780
1990,55079007300,544
1990,55079007400,421
1990,55079007500,722
1990,55079007600,359
1990,55079007700,486
1990,55079007800,550
1990,55079007900,390
1990,55079008000,427
1990,55079008100,317
1990,55079008400,390
1990,55079008500,335
1990,55079008600,414
1990,55079008700,431
1990,55079008800,532
1990,55079008900,423
1990,55079009000,558
1990,55079009100,567
1990,55079009200,372
1990,55079009300,726
1990,55079009400,750
1990,55079009500,625
1990,55079009600,562
1990,55079009700,385
1990,55079009800,371
1990,55079009900,446
1990,55079010600,283
1990,55079010700,414
1990,55079010800,242
1990,55079011000,330
1990,55079011100,116
1990,55079011200,298
1990,55079011300,121
1990,55079011400,92
1990,55079012200,472
1990,55079012300,191
1990,55079012400,634
1990,55079012500,573
1990,55079012600,700
